S.N,Broker No,Broker Name,Address,Phone,Website,TMS
1,1,Kumari Securities Pvt. Limited,"Dillibazaar, Kathmandu",,https://kumarisecurities.com/,https://tms01.nepsetms.com.np/
2,1_RWS,Kumari Securities Pvt. Limited,"New Road, Pokhara",,https://kumarisecurities.com/,https://tms01.nepsetms.com.np/
3,3,Arun Securities Pvt. Limited,"Gaushala, Kathmandu",,http://www.arunsecurities.com/,https://tms03.nepsetms.com.np/login
4,4,Stock Broker Opal Securities Investment Pvt. Limited,"Lazimpat, Kathmandu",,https://stockbrokeropalsecurities.com/,https://tms04.nepsetms.com.np/login
5,5,Market Securities Exchange Company Pvt. Limited,"OM Dev Plaza Complex, Kichha Pokhari, Kathmandu",,http://marketsecurities.com.np/,https://tms06.nepsetms.com.np/login
6,6,Agrawal Securities Pvt. Limited,"Dillibazar, Kathmandu",,http://www.agrawalsecurities.com.np/,https://tms06.nepsetms.com.np/login
7,6_RWS,Agrawal Securities Pvt.Limited,"Main Road, Biratnagar",,http://www.agrawalsecurities.com.np/,https://tms06.nepsetms.com.np/login
8,6_RWS,Agrawal Securities Pvt.Limited,"Kadam Chowk, Janakpur",,http://www.agrawalsecurities.com.np/,https://tms07.nepsetms.com.np/login
9,7,J.F. Securities Company Pvt. Limited,"New Road, Kathmandu",,https://jfsecurities.com/,https://tms07.nepsetms.com.np/login
10,7_RWS,J.F. Securities Company Pvt. Limited,"Tulsipur, Dang",,https://www.jfsecurities.com/,https://tms08.nepsetms.com.np/login
11,8,Ashutosh Brokerage & Securities Pvt. Limited,"Behind Nepal SBI Bank, Battisputali, Kathmandu",,https://www.ashutoshsecurities.com/,https://tms08.nepsetms.com.np/login
12,8_RWS,Ashutosh Brokerage & Securities Pvt. Limited,"United Insurance Building, Itahari",,https://www.ashutoshsecurities.com/,https://tms10.nepsetms.com.np/login
13,10,Pragyan Securities Pvt. Limited,"Kamaladi, Kathmandu",,https://pragyansecurities10.com.np/,https://tms10.nepsetms.com.np/login
14,10_RWS,Pragyan Securities Pvt. Limited,"Rangeli Road, Biratnagar",,https://pragyansecurities10.com.np/,https://tms11.nepsetms.com.np/login
15,11,Malla & Malla Stock Broking Company Pvt. Limited,"Lalupate Marg, Hattisar, Kathmandu, Nepal",,http://mallastock.com/,https://tms13.nepsetms.com.np/login
16,13,Thrive Brokerage House Pvt. Limited,"Naxal,Kathmandu",,https://thrivebrokerage.com/,https://tms13.nepsetms.com.np/login
17,13_RWS,Thrive Brokerage House Pvt. Limited,"Gairipatan, Pokhara",,https://thrivebrokerage.com/,https://tms14.nepsetms.com.np/login
18,14,Nepal Stock House Pvt. Limited,"Kalikasthan,Kathmandu",,http://stockhouse.com.np/,https://tms14.nepsetms.com.np/login
19,14_RWS,Nepal Stock House Pvt. Limited,"Tikapur-1 Bhimsentol, Kailali",,http://stockhouse.com.np/,https://tms14.nepsetms.com.np/login
20,14_RWS,Nepal Stock House Pvt. Limited,"Newroad-8, Pokhara",,http://stockhouse.com.np/,https://tms14.nepsetms.com.np/login
21,14_RWS,Nepal Stock House Pvt. Limited,"Newroad-8, Pokhara",,http://stockhouse.com.np/,https://tms16.nepsetms.com.np/login
22,16,Primo Securities Pvt. Limited,"49/8, Shanker Dev Marg, Putalisadak, Kathmandu.",,https://primosecurities.com.np/,https://tms16.nepsetms.com.np/login
23,16_RWS,Primo Securities Pvt. Limited,"GP Road, Birgunj",,https://primosecurities.com.np/,https://tms17.nepsetms.com.np/
24,17,ABC Securities Pvt. Limited,"Indrachowk, Kathmandu",,https://abcsecurities.com.np/index.html,https://tms17.nepsetms.com.np/
25,17_RWS,ABC Securities Pvt. Limited,"Prithvi Marg, Dharan",,https://abcsecurities.com.np/index.html,https://tms18.nepsetms.com.np/login
26,18,Sagarmatha Securities Pvt. Limited,"Dillibazar, Kathmandu",,http://sagarmathasecurities.com/,https://tms19.nepsetms.com.np/login
27,19,Nepal Investment & Securities Trading Pvt. Limited,"Purano Baneshwor, Kathmandu",,http://nist19.com/,https://tms19.nepsetms.com.np/login
28,19_RWS,Nepal Investment & Securities Trading Pvt. Limited,"Main Road, Biratnagar",,http://nist19.com/,https://tms20.nepsetms.com.np/login
29,20,Sipla Securities Pvt. Limited,"Gyaneshwor,Kathmandu",,https://siplasecurities.com/,https://tms21.nepsetms.com.np/
30,21,Midas Stock Broking Company Pvt. Limited,"Kamaladi Mode, Kathmandu",,http://midasstock.com.np/home.aspx#,https://tms21.nepsetms.com.np/
