Company Symbol,Company Name,Sector,Shares Outstanding,EPS,P/E Ratio,Book Value,PBV,Market Capitalization,% Dividend,% Bonus,Right Share
SIGS3,"Siddhartha Investment Growth Scheme 3	 (SIGS3)",Mutual Fund,"80,580,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"797,742,000.00","7.00
                                
                                    (FY:080-081)",,
NWCL,Nepal Warehousing Company Limited (NWCL),Others,"6,875,000.00","-13.06 (FY:081-082, Q:1)",-75.04,88.89,11.02,"6,737,500,000.00",,,
SPIL,Siddhartha Premier Insurance Limited (SPIL),Non-Life Insurance,"28,065,499.00","16.03 (FY:081-082, Q:2)",54.1,287.34,3.02,"24,341,207,282.70",,,
SBL,Siddhartha Bank Limited (SBL),Commercial Banks,"140,899,801.90","7.53 (FY:081-082, Q:2)",38.11,198.61,1.45,"40,438,243,145.30","4.00
                                
                                    (FY:080-081)",,
GWFD83,12% Goodwill finance Debenture 2083 (GWFD83),Corporate Debenture,,"0.00 (FY:, Q:0)",0,0,"1,205.40",0,,,
SAGF,Sanima Growth Fund (SAGF),Mutual Fund,"67,253,260.00","0.00 (FY:081-082, Q:10)",0,0,0,"637,560,904.80","10.00
                                
                                    (FY:080-081)",,
MLBBL,Mithila Laghubitta Bittiya Sanstha Ltd. (MLBBL),Microfinance,"1,960,027.60","38.24 (FY:081-082, Q:2)",43.07,199.38,8.26,"3,228,165,457.20",,,
NICL,Nepal Insurance Co. Ltd. (NICL),Non-Life Insurance,"16,442,419.40","10.46 (FY:081-082, Q:2)",94.65,215.37,4.6,"16,277,995,206.00",,,"1:0.65
                                
                                    (FY:075-076)"
TAMOR,Sanima Middle Tamor Hydropower Limited (TAMOR),Hydro Power,"33,324,970.00","16.30 (FY:081-082, Q:2)",32.76,105.97,5.04,"17,795,533,980.00",,,
BPCL,Butwal Power Company Limited (BPCL),Hydro Power,"34,090,650.00","11.37 (FY:081-082, Q:2)",35.11,207.11,1.93,"13,608,987,480.00","5.00
                                
                                    (FY:080-081)","5.00
                                
                                    (FY:078-079)",
CMF2,CITIZENS MUTUAL FUND 2 (CMF2),Mutual Fund,"56,000,000.00","0.00 (FY:081-082, Q:10)",0,0,0,"535,360,000.00","6.50
                                
                                    (FY:080-081)",,
MNBBL,Muktinath Bikas Bank Ltd. (MNBBL),Development Bank Limited,"70,469,380.00","14.28 (FY:081-082, Q:2)",26.12,155.28,2.4,"26,285,078,740.00",,,
